Tackles,,,,,Challenges,,,,Blocks,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
58,Luke Berry,eng ENG,"MF,DF",Luton Town,31-280,1992,2.7,5,2,2,3,0,2,2,100,0,4,0,4,0,5,3,0,Matches
59,Beto,gw GNB,FW,Everton,26-077,1998,10.2,14,6,1,6,7,4,11,36.4,7,11,0,11,1,15,14,0,Matches
60,Jordan Beyer,de GER,DF,Burnley,23-334,2000,13.7,35,20,22,12,1,14,24,58.3,10,22,15,7,16,51,68,1,Matches
61,Philip Billing,dk DEN,MF,Bournemouth,27-311,1996,14.9,32,15,6,22,4,9,26,34.6,17,29,5,24,19,51,28,1,Matches
62,Yves Bissouma,ml MLI,MF,Tottenham,27-231,1996,20.2,72,46,29,33,10,38,54,70.4,16,26,5,21,33,105,40,3,Matches
63,Benicio Boaitey,eng ENG,"DF,FW",Brighton,20-099,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
64,Oscar Bobb,no NOR,"FW,MF",Manchester City,20-280,2003,3.2,6,3,1,2,3,1,3,33.3,2,4,0,4,4,10,1,0,Matches
65,Jayden Bogle,eng ENG,DF,Sheffield Utd,23-265,2000,25.1,53,28,37,14,2,28,60,46.7,32,38,11,27,29,82,82,0,Matches
66,Willy Boly,ci CIV,DF,Nott'ham Forest,33-074,1991,12.1,32,19,28,4,0,15,25,60,10,22,15,7,20,52,71,0,Matches
67,Sven Botman,nl NED,DF,Newcastle Utd,24-096,2000,15.3,20,13,14,6,0,8,13,61.5,5,20,16,4,9,29,61,3,Matches
68,Jarrod Bowen,eng ENG,FW,West Ham,27-119,1996,30.5,39,26,14,12,13,13,33,39.4,20,34,5,29,18,57,14,0,Matches
69,Conor Bradley,nir NIR,DF,Liverpool,20-283,2003,8.1,32,24,13,12,7,23,37,62.2,14,17,1,16,10,42,14,0,Matches
70,Jarrad Branthwaite,eng ENG,DF,Everton,21-295,2002,28.6,55,29,34,19,2,39,52,75,13,35,26,9,46,101,130,1,Matches
71,Ben Brereton,cl CHI,"FW,MF",Sheffield Utd,24-365,1999,6.5,4,2,2,1,1,2,6,33.3,4,4,3,1,0,4,4,0,Matches
72,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,24-016,2000,3.4,5,1,1,2,2,0,2,0,2,2,0,2,0,5,2,0,Matches
73,Armando Broja,al ALB,FW,Chelsea,22-220,2001,5,3,0,0,1,2,1,2,50,1,5,1,4,0,3,3,0,Matches
74,Armando Broja,al ALB,FW,Fulham,22-220,2001,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
75,Andre Brooks,eng ENG,"MF,DF",Sheffield Utd,20-241,2003,7.4,10,7,2,7,1,5,14,35.7,9,11,1,10,9,19,14,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,David Brooks,wls WAL,"FW,MF",Bournemouth,26-284,1997,3.1,5,4,2,1,2,2,4,50,2,3,0,3,2,7,2,0,Matches
77,Jacob Brown,sct SCO,"MF,FW",Luton Town,26-007,1998,11.3,19,12,7,7,5,7,18,38.9,11,20,1,19,8,27,22,0,Matches
78,Josh Brownhill,eng ENG,MF,Burnley,28-120,1995,23.6,55,34,22,24,9,24,33,72.7,9,31,8,23,33,88,39,1,Matches
79,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,25-211,1998,10.4,6,3,2,2,2,5,16,31.3,11,12,0,12,5,11,12,0,Matches
80,Hugo Bueno,es ESP,"DF,MF",Wolves,21-212,2002,6.2,19,13,10,7,2,10,17,58.8,7,13,3,10,5,24,19,0,Matches
81,Santiago Bueno,uy URU,DF,Wolves,25-160,1998,6.5,11,6,5,6,0,4,8,50,4,12,5,7,6,17,25,0,Matches
82,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,19-116,2004,12,33,16,8,20,5,10,32,31.3,22,18,3,15,7,40,4,0,Matches
83,Reece Burke,eng ENG,DF,Luton Town,27-228,1996,15,27,16,13,9,5,7,18,38.9,11,23,17,6,16,43,67,0,Matches
84,Dan Burn,eng ENG,DF,Newcastle Utd,31-344,1992,24.3,52,26,32,18,2,21,54,38.9,33,39,15,24,30,82,101,1,Matches
85,Mason Burstow,eng ENG,FW,Chelsea,20-257,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
86,Moisés Caicedo,ec ECU,MF,Chelsea,22-167,2001,25.1,68,37,33,28,7,27,47,57.4,20,41,19,22,30,98,33,4,Matches
87,Tom Cairney,sct SCO,MF,Fulham,33-088,1991,15.4,23,15,10,11,2,13,25,52,12,15,4,11,13,36,5,0,Matches
88,Dominic Calvert-Lewin,eng ENG,FW,Everton,27-032,1997,19.8,10,3,1,5,4,2,14,14.3,12,11,3,8,4,14,28,0,Matches
89,Thomas Cannon,ie IRL,FW,Everton,21-111,2002,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
90,Diego Carlos,br BRA,DF,Aston Villa,31-033,1993,17,25,14,20,4,1,13,19,68.4,6,18,13,5,13,38,64,2,Matches
91,Cesare Casadei,it ITA,"FW,MF",Chelsea,21-098,2003,0.4,2,1,1,1,0,0,0,,0,1,0,1,0,2,2,0,Matches
92,Casemiro,br BRA,MF,Manchester Utd,32-054,1992,16,58,36,27,25,6,33,75,44,42,59,22,37,13,71,52,0,Matches
93,Matty Cash,pl POL,DF,Aston Villa,26-254,1997,21.1,48,26,21,22,5,24,49,49,25,33,12,21,18,66,52,0,Matches
94,Timothy Castagne,be BEL,DF,Fulham,28-134,1995,25.3,42,20,19,14,9,23,39,59,16,33,8,25,36,78,59,1,Matches
95,Jonny Castro,es ESP,MF,Wolves,30-045,1994,0.1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,Matches
96,Trevoh Chalobah,eng ENG,DF,Chelsea,24-287,1999,4.4,3,1,2,0,1,2,2,100,0,4,4,0,5,8,24,0,Matches
97,Calum Chambers,eng ENG,"DF,MF",Aston Villa,29-088,1995,0.8,0,0,0,0,0,0,0,,0,2,1,1,0,0,4,0,Matches
98,Youssef Chermiti,pt POR,FW,Everton,19-329,2004,0.9,1,1,1,0,0,0,2,0,2,2,1,1,0,1,0,0,Matches
99,Ben Chilwell,eng ENG,DF,Chelsea,27-118,1996,8.4,15,10,5,9,1,5,8,62.5,3,11,3,8,4,19,19,1,Matches
100,Tawanda Chirewa,eng ENG,MF,Wolves,20-189,2003,0.4,3,1,2,1,0,1,1,100,0,0,0,0,1,4,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Leon Chiwome,eng ENG,FW,Wolves,18-098,2006,1.9,2,1,0,1,1,1,2,50,1,3,1,2,0,2,2,0,Matches
102,Tahith Chong,nl NED,MF,Luton Town,24-135,1999,17.3,27,15,17,8,2,9,22,40.9,13,23,5,18,6,33,6,0,Matches
103,Ryan Christie,sct SCO,MF,Bournemouth,29-055,1995,27.3,74,36,31,29,14,34,76,44.7,42,38,6,32,42,116,40,0,Matches
104,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,20-180,2003,2.5,6,4,3,3,0,1,3,33.3,2,1,1,0,0,6,1,0,Matches
105,Bobby Clark,eng ENG,MF,Liverpool,19-070,2005,1,2,1,1,1,0,1,5,20,4,6,2,4,1,3,1,0,Matches
