Total,,,,,Short,,,Medium,,,Long,,,,,Expected,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
59,Beto,gw GNB,FW,Everton,26-077,1998,10.2,98,169,58,1320,298,59,91,64.8,31,50,62,5,6,83.3,0,0.9,0.3,-0.9,11,7,6,0,14,Matches
60,Jordan Beyer,de GER,DF,Burnley,23-334,2000,13.7,766,861,89,14232,3759,270,298,90.6,421,446,94.4,64,92,69.6,1,0.3,0.2,0.7,3,28,1,0,25,Matches
61,Philip Billing,dk DEN,MF,Bournemouth,27-311,1996,14.9,387,512,75.6,5728,1737,225,270,83.3,112,143,78.3,30,51,58.8,2,3.1,2.1,-1.1,22,37,15,4,50,Matches
62,Yves Bissouma,ml MLI,MF,Tottenham,27-231,1996,20.2,1500,1630,92,22059,6156,848,897,94.5,539,579,93.1,53,66,80.3,0,0.4,1.6,-0.4,9,136,10,0,140,Matches
63,Benicio Boaitey,eng ENG,"DF,FW",Brighton,20-099,2004,0.2,9,14,64.3,124,19,6,9,66.7,3,4,75,0,0,,0,0,0,0,0,0,0,0,1,Matches
64,Oscar Bobb,no NOR,"FW,MF",Manchester City,20-280,2003,3.2,145,166,87.3,1922,411,96,101,95,41,48,85.4,3,3,100,1,1.2,1.3,-0.2,8,2,17,1,22,Matches
65,Jayden Bogle,eng ENG,DF,Sheffield Utd,23-265,2000,25.1,514,752,68.4,7781,2868,310,365,84.9,158,230,68.7,35,98,35.7,0,0.8,0.8,-0.8,8,29,16,5,39,Matches
66,Willy Boly,ci CIV,DF,Nott'ham Forest,33-074,1991,12.1,412,549,75,7486,3284,172,192,89.6,193,247,78.1,37,88,42,0,1,0.7,-1,5,26,7,0,22,Matches
67,Sven Botman,nl NED,DF,Newcastle Utd,24-096,2000,15.3,921,1017,90.6,17027,6760,357,382,93.5,459,489,93.9,98,132,74.2,2,1,0.6,1,5,38,1,0,35,Matches
68,Jarrod Bowen,eng ENG,FW,West Ham,27-119,1996,30.5,443,640,69.2,6219,1700,262,315,83.2,125,165,75.8,31,63,49.2,5,4.7,4.5,0.3,27,26,11,2,48,Matches
69,Conor Bradley,nir NIR,DF,Liverpool,20-283,2003,8.1,404,514,78.6,6000,1815,230,267,86.1,144,185,77.8,19,34,55.9,3,1.5,1.2,1.5,15,27,13,3,29,Matches
70,Jarrad Branthwaite,eng ENG,DF,Everton,21-295,2002,28.6,904,1143,79.1,16752,6240,359,416,86.3,436,501,87,91,174,52.3,0,0.9,1.1,-0.9,3,48,1,0,59,Matches
71,Ben Brereton,cl CHI,"FW,MF",Sheffield Utd,24-365,1999,6.5,84,117,71.8,1114,343,60,72,83.3,23,31,74.2,1,5,20,1,1.1,0.9,-0.1,5,9,7,1,15,Matches
72,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,24-016,2000,3.4,43,63,68.3,555,144,29,34,85.3,9,21,42.9,2,2,100,0,0.1,0.1,-0.1,2,6,1,0,2,Matches
73,Armando Broja,al ALB,FW,Chelsea,22-220,2001,5,83,94,88.3,932,91,60,64,93.8,15,18,83.3,1,2,50,0,0.2,0.3,-0.2,3,2,2,0,6,Matches
74,Armando Broja,al ALB,FW,Fulham,22-220,2001,0.6,12,19,63.2,118,64,10,13,76.9,2,3,66.7,0,0,,1,0.4,0,0.6,1,3,1,0,2,Matches
75,Andre Brooks,eng ENG,"MF,DF",Sheffield Utd,20-241,2003,7.4,120,165,72.7,1784,400,72,86,83.7,42,57,73.7,5,11,45.5,0,0.1,0.2,-0.1,2,8,4,0,12,Matches
